id,address1,address2,city,postcode,county,country_id,email,last_modified_user_id,last_modified_date,created_user_id,created_date,parent_class,parent_id,date_start,date_end,address_type_id
6083,"29, Neilson Road","","Winster","PE81 9XQ","County Tyrone",1,"Rowan.Chance@hotmail.com",1,"2012-03-08 13:36:26",1,"2000-01-01 00:00:00","Contact",6200,NULL,NULL,2
6084,"13, Armstead Street","Countywide","Staverton","MA31 7KG","County Down",1,"Lawrence.Bridges@hotmail.com",1,"2012-03-08 13:36:26",1,"2000-01-01 00:00:00","Contact",6201,NULL,NULL,2
6085,"27, Pullen Avenue","","Boyton","QQ31 6NS","Grampian",1,"Schuyler.Coleman@hotmail.com",1,"2012-03-08 13:36:26",1,"2000-01-01 00:00:00","Contact",6202,NULL,NULL,2
6086,"40, Charlesworth Road","Kilmington","Rickinghall","YM42 7PT","",1,"Tabitha.Gabbard@hotmail.com",1,"2012-03-08 13:36:26",1,"2000-01-01 00:00:00","Contact",6203,NULL,NULL,2
6087,"62, Aldridge Crescent","","Harwich","HU77 7QQ","Somerset",1,"Priscilla.Sykes@hotmail.com",1,"2012-03-08 13:36:26",1,"2000-01-01 00:00:00","Contact",6204,NULL,NULL,2
6088,"31, Brackett Avenue","","Luss","LP84 3GM","",1,"Tracy.Scantlebury@hotmail.com",1,"2012-03-08 13:36:26",1,"2000-01-01 00:00:00","Contact",6205,NULL,NULL,2
6089,"87, Conrad Court","Killamarsh","Sutton upon Derwent","PA32 3AU","",1,"Miles.Wragge@hotmail.com",1,"2012-03-08 13:36:27",1,"2000-01-01 00:00:00","Contact",6206,NULL,NULL,2
6090,"31, King Street","Ayot St Lawrence","Cleobury Mortimer","GN77 2JS","",1,"Rosaleen.Hepburn@hotmail.com",1,"2012-03-08 13:36:27",1,"2000-01-01 00:00:00","Contact",6207,NULL,NULL,2
6091,"98, Aitchison Street","Coatbridge","Milborne Port","XG81 7AO","",1,"Julia.Haley@hotmail.com",1,"2012-03-08 13:36:27",1,"2000-01-01 00:00:00","Contact",6208,NULL,NULL,2
6092,"43, Crowe Road","","Kimbolton","VC66 5YV","Lothian",1,"Abigail.Alder@hotmail.com",1,"2012-03-08 13:36:27",1,"2000-01-01 00:00:00","Contact",6209,NULL,NULL,2
