id,pas_key,dob,gender,hos_num,nhs_num,last_modified_user_id,last_modified_date,created_user_id,created_date,gp_id,date_of_death,practice_id,ethnic_group_id,contact_id
17885,1007913,"1970-10-06","F","1007913","1053991374",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",NULL,NULL,3,NULL,8002
17886,1007914,"1933-05-17","F","1007914","7082877637",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",1,NULL,3,NULL,8003
17887,1007915,"1941-05-02","F","1007915","7314881190",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",2,NULL,3,NULL,8004
17888,1007916,"1939-05-25","M","1007916","8885143199",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",3,NULL,3,NULL,8005
17889,1007917,"1952-08-07","M","1007917","3492747049",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",NULL,NULL,NULL,NULL,8006
17890,1007918,"1961-06-27","M","1007918","1262066547",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",1,NULL,NULL,NULL,8007
17891,1007919,"1952-05-22","F","1007919","5652142173",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",2,NULL,NULL,NULL,8008
17892,1007920,"1976-01-19","M","1007920","9365286731",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",3,NULL,NULL,NULL,8009
17893,1007921,"1962-09-09","M","1007921","7148058049",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",NULL,NULL,1,NULL,8010
17894,1007922,"1922-07-14","M","1007922","4836241849",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",1,NULL,1,NULL,8011
17895,1007923,"1968-10-27","F","1007923","9912231704",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",2,NULL,1,NULL,8012
17896,1007924,"1937-10-16","M","1007924","1848976362",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",3,NULL,1,NULL,8013
17897,1007925,"1958-01-10","F","1007925","5667289464",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",NULL,NULL,2,NULL,8014
17898,1007926,"1937-12-25","F","1007926","9935358087",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",1,NULL,2,NULL,8015
17899,1007927,"1972-10-08","M","1007927","9584617661",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",2,NULL,2,NULL,8016
17900,1007928,"1954-07-07","F","1007928","8779644000",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",3,NULL,2,NULL,8017
17901,1007929,"1932-09-15","F","1007929","3791894975",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",NULL,NULL,3,NULL,8018
17902,1007930,"1927-05-12","M","1007930","4149301634",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",1,NULL,3,NULL,8019
17903,1007931,"1921-11-05","F","1007931","7485506053",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",2,NULL,3,NULL,8020
17904,1007932,"1965-06-16","F","1007932","1663279101",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",3,NULL,3,NULL,8021
17905,1007933,"1972-03-13","F","1007933","7252164319",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",NULL,NULL,NULL,NULL,8022
17906,1007934,"1964-01-05","F","1007934","9054119132",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",1,NULL,NULL,NULL,8023
17907,1007935,"1927-07-28","F","1007935","2479339313",1,"2012-10-05 12:24:11",1,"2000-01-01 00:00:00",2,NULL,NULL,NULL,8024
17908,1007936,"1920-02-22","F","1007936","1615195057",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",3,"1990-02-04",NULL,NULL,8025
17909,1007937,"1923-05-12","F","1007937","4978617928",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",NULL,NULL,1,NULL,8026
17910,1007938,"1945-12-07","F","1007938","8527797109",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",1,NULL,1,NULL,8027
17911,1007939,"1963-10-05","F","1007939","3293112073",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",2,NULL,1,NULL,8028
17912,1007940,"1976-01-12","F","1007940","4607663886",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",3,NULL,1,NULL,8029
17913,1007941,"1953-12-24","F","1007941","6705743771",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",NULL,NULL,2,NULL,8030
17914,1007942,"1927-09-27","F","1007942","4124707486",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",1,NULL,2,NULL,8031
17915,1007943,"1929-01-17","F","1007943","8617007587",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",2,NULL,2,NULL,8032
17916,1007944,"1925-09-05","F","1007944","7323212389",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",3,"1995-08-19",2,NULL,8033
17917,1007945,"1926-10-28","M","1007945","2852067633",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",NULL,NULL,3,NULL,8034
17918,1007946,"1943-06-23","M","1007946","2411552645",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",1,NULL,3,NULL,8035
17919,1007947,"1978-05-10","F","1007947","5933518553",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",2,NULL,3,NULL,8036
17920,1007948,"1963-07-20","F","1007948","1667647816",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",3,NULL,3,NULL,8037
17921,1007949,"1948-12-19","F","1007949","8473385439",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",NULL,NULL,NULL,NULL,8038
17922,1007950,"1965-11-25","M","1007950","1817554549",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",1,NULL,NULL,NULL,8039
17923,1007951,"1977-03-03","F","1007951","2858428165",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",2,NULL,NULL,NULL,8040
17924,1007952,"1939-02-22","M","1007952","9415577967",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",3,NULL,NULL,NULL,8041
17925,1007953,"1969-05-15","M","1007953","4274596136",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",NULL,NULL,1,NULL,8042
17926,1007954,"1972-07-28","F","1007954","9017543422",1,"2012-10-05 12:24:12",1,"2000-01-01 00:00:00",1,NULL,1,NULL,8043
