id,username,first_name,last_name,email,active,global_firm_rights,title,qualifications,role,code,password,salt,last_firm_id,is_doctor,access_level,contact_id,last_site_id,is_clinical,is_consultant,is_surgeon,has_selected_firms
1,admin,Enoch,Root,admin@example.com,1,1,Mr,"admin qualification","admin role",,d45409ef1eaa57f5041bf3a1b510097b,FbYJis0YG3,NULL,1,5,3,NULL,0,0,0,1
2,aanderson,Andrew,Anderson,aanderson@openeyes.org.uk,1,1,Mr,,,,c710790a790ed75065a8434c00c70bfc,E8yB3P02Mq,NULL,1,5,2,NULL,0,1,1,1
3,bbroom,Brenda,Broom,bbroom@openeyes.org.uk,1,1,Miss,,,,49ce5e1189de532d9e157ed07e749c87,,NULL,1,5,3,NULL,0,1,1,1
4,level0,Level,Zero,zero@example.com,1,1,,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,0,10122,NULL,0,0,0,1
5,level1,Level,One,one@example.com,1,1,,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,1,10123,NULL,0,0,0,1
6,level2,Level,Two,two@example.com,1,1,,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,2,10124,NULL,0,0,0,1
7,level3,Level,Three,three@example.com,1,1,,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,3,10125,NULL,0,0,0,1
8,level4,Level,Four,four@example.com,1,1,,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,4,10126,NULL,0,0,0,1
127,level5,Level,Five,view@email.com,1,0,Mr,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,5,10127,NULL,0,0,0,0
128,level6,Level,Six,two@example.com,1,0,,,,NULL,0376a3952a49a77e84f3e154c9dc59d3,r8o7BGv1Um,NULL,0,6,10128,NULL,0,0,0,0
129,api,Api,User,api@example.com,1,1,,,,NULL,f7b38e92144cc0e3adf1846cf952f965,0h7NW3k4Ar,NULL,0,0,NULL,NULL,0,0,0,0
